item_id,pool,source_sme,change_type,fact_idx,action,original_text,new_text,sme_note,gpt_rationale,override_reason
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,2,replaced,"The permissible harbour/sheltered water sagging bending moment criterion is Msw-p ≤ fhar × Mwv + Msw, with fhar = 0.5","The permissible harbour/sheltered water sagging bending moment criterion is M_sw-p ≤ f_har-M × M_wv + M_sw, with f_har-M = 0.9 per Pt5.Ch2.Sec3 [2.3.1] (in lieu of the Pt3.Ch5.Sec2 default f_har = 0.5 for non-container ships)",Pt3.Ch5.Sec2 defines f_har = 0.5 unless otherwise defined in Pt.5; Pt5.Ch2.Sec3 [2.3.1] does otherwise define the container-ship harbour-bending correction as f_har-M = 0.9.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,3,replaced,"The permissible harbour sagging bending moment evaluates to 0.5 × 4,200,000 + 7,500,000 = 9,600,000 kNm","The permissible harbour sagging bending moment evaluates to 0.9 × 4,200,000 + 7,500,000 = 11,280,000 kNm","With container-ship f_har-M = 0.9: 0.9 * 4,200,000 + 7,500,000 = 11,280,000 kNm.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,"The applied harbour sagging moment of 9,800,000 kNm exceeds the permissible value of 9,600,000 kNm","The applied harbour sagging moment of 9,800,000 kNm does not exceed the permissible value of 11,280,000 kNm","Permissible 11,280,000 kNm, applied 9,800,000 kNm, so applied does not exceed permissible.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
F500_0137,dnv_full_500,SME-3-stageA,fact_repair,5,replaced,The harbour loading condition is not compliant,The harbour loading condition is compliant,Compliance reverses: condition is compliant under the Pt5 container-ship correction.,Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0015,dnv_full_500,SME-3-stageA,fact_repair,5,replaced,"GM default = 0.07 × 32 = 2.24 m (general default, since GM not calculated)","GM = 0.25 × B = 0.25 × 32 = 8.0 m, taken from Pt5.Ch1.Sec2 [5.1.2] Table 4 for the bulk-carrier homogeneous-heavy-cargo, partially filled, full-load condition (Pt5 overrides the Pt3.Ch4.Sec3 generic default GM = 0.07 × B for ships with class notation Bulk carrier or Ore carrier)","Pt5.Ch1.Sec2 [5.1.2] sends bulk carriers to Table 4 for GM and k_r in lieu of Pt3 generic defaults; for homogeneous heavy cargo, partially filled, full-load condition Table 4 gives GM = 0.25 × B = 8.0 m.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0015,dnv_full_500,SME-3-stageA,fact_repair,6,replaced,Roll angle θ ≈ 18.1–18.2 degrees,Roll angle θ must be re-derived using the bulk-carrier-specific k_r = 0.42 × B = 13.44 m (Pt5.Ch1.Sec2 [5.1.2] Table 4) together with GM = 8.0 m and the Pt3.Ch4.Sec3 roll-angle formula; the generic-default-based value of ≈18° derived from k_r = 0.39B / GM = 0.07B is not applicable for a bulk carrier,"With the bulk-carrier-specific k_r = 0.42 × B = 13.44 m and GM = 8.0 m, the roll angle from the Pt3.Ch4.Sec3 formula is materially smaller than the value derived from generic defaults; the question's quantitative roll-angle value must be re-derived rather than left at the generic-default ≈18°.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0028,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,A deviation of 0.8% is within the ±1% limit and does not by itself prevent certificate issuance,"For onboard certification per [9.6.2], any numerical difference between the installed system output and the approved test conditions prevents certificate issuance, so a 0.8% deviation is by itself a basis for refusal even though it satisfies the ±1% software-approval criterion in [9.5.8]","[9.6.2] says: ""If numerical output from the lashing computer system is different with the approved test conditions, a certificate cannot be issued."" The ±1% criterion in [9.5.8] applies only to software approval against independent calculations, not to onboard certification.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0128,dnv_full_500,SME-3-stageA,fact_repair,1,replaced,The correct net design pressure for outer shell plating adjacent to a ballast tank under load set TK-1/WB-1 is P_ls-1 + P_ld − P_S,"The correct net design pressure for outer shell plating adjacent to a ballast tank under load set TK-1/WB-1 is P_ls-1 + P_ld - (P_S + P_W), per Pt3.Ch6.Sec2 Table 1 (the ""- P_S"" form in Table 2 is for primary supporting members, not plating)","Table 1 gives WB-1 and TK-1 for plating as ""P_ls-1 + P_ld - (P_S + P_W)"" at T_BAL with AC-II; Table 2's ""- P_S"" expression is for primary supporting members, not plating.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0210,dnv_full_500,SME-3-stageA,fact_repair,0,replaced,"The equivalent panel width b_eq is approximately 692 mm, computed using b_eq = ℓ1 + ℓ2 × (t1/t2)^1.5 with t1 = 16 mm, ℓ1 = 420 mm, t2 = 20 mm, ℓ2 = 380 mm","For a varying-thickness panel under FE-based / direct-strength buckling assessment, Pt3.Ch8.Sec4 [2.1.2] requires the average net thickness t_avr = Σ A_i t_i / Σ A_i across the panel; with t1 = 16 mm, ℓ_1 = 420 mm and t2 = 20 mm, ℓ_2 = 380 mm: t_avr = (420×16 + 380×20) / (420+380) ≈ 17.9 mm (the equivalent-width formula b_eq = ℓ_1 + ℓ_2(t1/t2)^1.5 belongs to Pt3.Ch8.Sec3 [1.2.1] hull-girder buckling and does not apply here)","Pt3.Ch8.Sec4 [2.1.2] requires average thickness t_avr = ΣA_i t_i / ΣA_i for non-constant-thickness panels. With t1=16, w1=420, t2=20, w2=380: t_avr = (420×16 + 380×20) / (420+380) = (6720+7600)/800 = 17.9 mm. The equivalent-width formula belongs to Pt3.Ch8.Sec3 [1.2.1], the hull-girder buckling subsection, not the direct-strength buckling rules.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
R500_0210,dnv_full_500,SME-3-stageA,fact_repair,4,replaced,The buckling check for the varying-thickness panel shall be performed using the smaller plate thickness t1 = 16 mm combined with the equivalent width b_eq,"The buckling check for the varying-thickness panel shall be performed using the average net thickness t_avr ≈ 17.9 mm across the full panel width per Pt3.Ch8.Sec4 [2.1.2], not the smaller plate thickness t1 = 16 mm combined with an equivalent width","Buckling check for varying-thickness panel under direct-strength assessment uses t_avr = 17.9 mm across the full panel width, not t1 = 16 mm with an equivalent width.",Drafted from SME-3 Stage-A free-text comment + v5d per-fact reason quoting source clauses; cross-checked numerically.,
