item_id,pool,source_sme,change_type,fact_idx,action,original_text,new_text,sme_note,gpt_rationale,override_reason
R500_0120,dnv_full_500,SME-3,fact_repair,3,replaced,Material factor k for Option B (ReH = 390 N/mm²) is 0.66 (by linear interpolation from Table 2),Material factor k for Option B (ReH = 390 N/mm²) is 0.66 with fatigue assessment or 0.68 without fatigue assessment (as stated in Table 2),"Table 2 has explicit 390 MPa k = 0.66/0.68; k=0.66 only with fatigue assessment, otherwise 0.68. It is not an unconditional interpolation result.",Changed the fact from an unconditional interpolation result to the explicit Table 2 values and their applicability condition.,
R500_0129,dnv_full_500,SME-3,fact_repair,0,replaced,Roll period Tθ ≈ 19.2 s (using default kr = 0.39B = 12.48 m and default GM = 0.07B = 2.24 m),"Roll period Tθ is based on the bulk carrier / ore carrier GM and kr in Pt5 Ch1 Sec2 [5.1.2], not the Pt3 Ch4 Sec3 defaults","Bulk carrier / Ore carrier GM is governed by Pt5 Ch1 Sec2 [5.1.2], not the general default in Pt3 Ch4 Sec3.",Replaced the incorrect Pt3 default GM/kr basis with the Pt5 bulk-carrier/ore-carrier rule reference identified by the SME.,
R500_0129,dnv_full_500,SME-3,fact_repair,1,replaced,"Roll angle θ ≈ 22.7 deg (using fp = fps = 1.0 for extreme sea loads with no service restriction, and fBK = 1.0 for bilge keel fitted)","For Bulk carrier / Ore carrier, roll angle θ is determined from the GM and kr parameters defined in Pt5 Ch1 Sec2 [5.1.2] (using fp = fps = 1.0 for extreme sea loads with no service restriction, and fBK = 1.0 for bilge keel fitted)","Bulk carrier / Ore carrier kr is governed by Pt5 Ch1 Sec2 [5.1.2], not the general default value.",Replaced the general-default numerical roll-angle fact with the bulk-carrier/ore-carrier-specific GM/kr rule reference because Pt5 Ch1 Sec2 [5.1.2] governs those parameters.,
R500_0157,dnv_full_500,SME-3,fact_repair,1,replaced,The vessel will receive the construction symbol ✦ (assigned to vessels built under a recognized classification society and later classed with DNV),The vessel will receive the construction symbol ✠· (assigned to vessels built under a recognized classification society and later classed with DNV),"For conversion from BV class, the construction symbol is not the ordinary DNV star symbol; source indicates the specific converted-class symbol.",Changed the symbol from the ordinary DNV construction symbol to the converted-class symbol ✠· for a vessel transferring from BV.,
F500_0109,dnv_full_500,SME-3,fact_repair,2,replaced_ambiguous,The steel corresponds to the A36/D36/E36/F36 grade family,The steel is cast steel with Rm >= 400,"Ambiguous/unsupported: the source supports cast steel for stern frame and Rm >= 400, but A36/D36/E36/F36 grade family is for rolled hull steels and is not clearly applicable to cast steel.",Replaced the unsupported rolled-steel A36/D36/E36/F36 family reference with the source-supported cast-steel tensile-strength requirement.,
F500_0128,dnv_full_500,SME-3,fact_repair,6,replaced,Envelope transverse acceleration ay-env must be derived from Pt3.Ch4.Sec3 [3.3.2] using aroll-y = aroll × (z − R) combined with the gravity component 0.5g sinθ,Envelope transverse acceleration ay-env must be derived from Pt3.Ch4.Sec3 [3.3.2] using aroll-y = aroll × (z − R) and the envelope combination ay-env = sqrt(asway^2 + (g sinθ + aroll-y)^2),The ay-env expression is not simply 0.5g·sin(theta); it includes g·sin(theta) plus roll/sway terms and the prescribed envelope-combination coefficients.,"Replaced the incorrect 0.5g sinθ term with the full [3.3.2] envelope expression, which combines g sinθ with sway and roll.",
R500_0310,dnv_full_500,SME-3,fact_repair,2,replaced,"Gross required thickness t_gr = min(t + t_c ; 1.25t) = min(19.18 ; 20.23) ≈ 19.18 mm, rounded to 19.5 mm","Gross required thickness t_gr = min(t + t_c ; 1.25t) = min(19.18 ; 20.23) ≈ 19.18 mm, rounded to 19.0 mm","19.18 mm rounded to the nearest 0.5 mm should be 19.0 mm, not 19.5 mm.","Changed the final rounding result because 19.18 mm rounds to 19.0 mm to the nearest 0.5 mm, not 19.5 mm.",
R500_0310,dnv_full_500,SME-3,fact_repair,4,replaced,The as-built plate of 22.0 mm is compliant because t_gr_off (21.5 mm) ≥ t_gr (19.5 mm),The as-built plate of 22.0 mm is compliant because t_gr_off (21.5 mm) ≥ t_gr,"The compliance conclusion may still hold, but the stated rounded required thickness relies on the incorrect 19.5 mm value.",Removed the incorrect 19.5 mm rounded requirement while preserving the compliance comparison against t_gr.,
R500_0356,dnv_full_500,SME-3,fact_repair,3,replaced,"For beam-columns (struts, pillars, cross-ties) under AC-I (static load scenario S), the allowable buckling utilization factor ηall = 0.65","For beam-columns (struts, pillars, cross-ties) in bow-impact checks under AC-II (static plus dynamic load scenario S+D), the allowable buckling utilization factor ηall = 0.75",Bow-impact case should not be checked using the AC-I allowable value; the applicable combined axial/bending acceptance criterion must be used.,"Changed the acceptance criterion from AC-I/S/0.65 to the applicable bow-impact AC-II combined-load criterion, which uses S+D and ηall = 0.75.",
R500_0356,dnv_full_500,SME-3,fact_repair,4,replaced,"The calculated buckling utilization factor of 0.78 exceeds ηall = 0.65, so the arrangement is NOT acceptable and the web frame scantlings must be increased","The calculated buckling utilization factor of 0.78 exceeds the bow-impact AC-II allowable utilization factor ηall = 0.75, so the arrangement is NOT acceptable and the web frame scantlings must be increased","Because the wrong allowable utilization criterion is used, the failure conclusion based on 0.78 > 0.65 is not supported.",Replaced the AC-I limit of 0.65 with the applicable bow-impact AC-II combined-load limit of 0.75.,
